Data Size,Average,Standard Deviation
7680,10.88988731,12.36319608
7681,10.88678111,12.36900435
7682,10.88899923,12.36946674
7683,10.88741497,12.363957
7684,10.88730823,12.36390732
7685,10.89186246,12.36472463
7686,10.89197056,12.36662717
7687,10.89266768,12.36370606
7688,10.89070348,12.36017156
7689,10.88842488,12.35813332
7690,10.88904101,12.3568889
7691,10.88582175,12.35974164
7692,10.89246537,12.35729447
7693,10.89637232,12.35758528
7694,10.89047983,12.35604158
7695,10.89107505,12.35310892
7696,10.89168034,12.35660522
7697,10.89436475,12.35202292
7698,10.89345065,12.34858747
7699,10.88935882,12.35188194
7700,10.88912599,12.34470811
7701,10.89275692,12.34619303
7702,10.89081777,12.34866367
7703,10.89690378,12.3449556
7704,10.88817996,12.34345518
7705,10.89408781,12.33954379
7706,10.89543368,12.34394357
7707,10.89814953,12.33976032
7708,10.89118825,12.34286561
7709,10.89123957,12.33727579
7710,10.89300409,12.33752186
7711,10.89627589,12.33800357
7712,10.89543694,12.3365812
7713,10.89492947,12.33625772
7714,10.89082032,12.33547233
7715,10.8925304,12.33253303
7716,10.88907487,12.33295131
7717,10.89338008,12.3350526
7718,10.89515791,12.33172772
7719,10.88905624,12.32814312
7720,10.89741445,12.32453268
7721,10.89472518,12.32653889
7722,10.89533901,12.32440986
7723,10.89655423,12.32486717
7724,10.89847214,12.32208626
7725,10.89361539,12.32415144
7726,10.89930335,12.32413508
7727,10.89164749,12.32018167
7728,10.89665087,12.31729011
7729,10.8934088,12.31824084
7730,10.90031428,12.31790252
7731,10.89822814,12.31638051
7732,10.89255537,12.31395738
7733,10.8964518,12.31478726
7734,10.89566938,12.31241991
7735,10.89290046,12.30938442
7736,10.89539206,12.31115128
7737,10.90070726,12.31123967
7738,10.8937949,12.30967981
7739,10.89608586,12.31169074
7740,10.89921842,12.30646716
7741,10.8975564,12.30432479
7742,10.90115776,12.30364604
7743,10.89729893,12.30486696
7744,10.89589253,12.30292772
7745,10.89624359,12.30333467
7746,10.89537963,12.30188007
7747,10.90140515,12.29732301
7748,10.89694568,12.29952789
7749,10.896008,12.29842709
7750,10.89821211,12.29697944
7751,10.90022886,12.29992153
7752,10.89295258,12.29291468
7753,10.90371856,12.29370705
7754,10.90029317,12.29241067
7755,10.90117114,12.29431884
7756,10.89595064,12.29228437
7757,10.89695289,12.2883665
7758,10.90284831,12.28808423
7759,10.90099028,12.28511673
7760,10.90246948,12.28452733
7761,10.89889734,12.28387364
7762,10.90388173,12.28267915
7763,10.89678928,12.28487236
7764,10.89948409,12.28246128
7765,10.89734123,12.28073765
7766,10.89999336,12.27710393
7767,10.90407126,12.27638869
7768,10.90471027,12.27739305
7769,10.8994012,12.27784069
7770,10.89963113,12.27957809
7771,10.90579263,12.27865227
7772,10.90045717,12.26820162
7773,10.90319883,12.27466461
7774,10.90187859,12.27254961
7775,10.9028633,12.26721459
7776,10.89908813,12.26768794
7777,10.90371724,12.27196632
7778,10.90430617,12.26597664
7779,10.90614144,12.26566056
7780,10.90419131,12.26529623
7781,10.9076375,12.26839334
7782,10.90612116,12.26355476
7783,10.90490036,12.26115453
7784,10.90434944,12.26280173
7785,10.90456022,12.26468508
7786,10.9052478,12.2593753
7787,10.90261961,12.26001577
7788,10.9016838,12.25810845
7789,10.90811937,12.25829115
7790,10.90529535,12.25373263
7791,10.90553982,12.25464277
7792,10.90188958,12.25618763
7793,10.90115401,12.25221171
7794,10.90326309,12.24927955
7795,10.90652919,12.25171242
7796,10.90346079,12.24928809
7797,10.90703942,12.24795543
7798,10.90516595,12.25139645
7799,10.90765023,12.24754077
7800,10.90713807,12.24511981
7801,10.90583059,12.24593958
7802,10.90549916,12.24356773
7803,10.90398164,12.24170593
7804,10.90601028,12.24126441
7805,10.90901359,12.23960618
7806,10.90719203,12.24388616
7807,10.90811238,12.23861771
7808,10.90512726,12.23487422
7809,10.90764716,12.23619985
7810,10.91037389,12.23771068
7811,10.90803955,12.23420761
7812,10.91189116,12.23439281
7813,10.90717238,12.2342742
7814,10.90872464,12.23112912
7815,10.90738981,12.22974185
7816,10.91082317,12.23255733
7817,10.91067132,12.22812375
7818,10.90758055,12.22580083
7819,10.90515105,12.22447848
7820,10.90794754,12.2232815
7821,10.90538394,12.22015604
7822,10.90583181,12.22187153
7823,10.91091282,12.2222655
7824,10.90771857,12.21606437
7825,10.91189586,12.2209842
7826,10.91311125,12.22293451
7827,10.91260034,12.21893364
7828,10.90903487,12.21660098
7829,10.91205265,12.21444199
7830,10.90771059,12.21539004
7831,10.91389434,12.21565685
7832,10.9109164,12.2109105
7833,10.90700784,12.21072439
7834,10.91076368,12.20958241
7835,10.91047846,12.21129607
7836,10.91197187,12.21126969
7837,10.90798252,12.20907552
7838,10.91121072,12.20492841
7839,10.90599477,12.21090486
7840,10.90792493,12.20313582
7841,10.91498324,12.2088425
7842,10.91590637,12.20593738
7843,10.90776624,12.20116443
7844,10.91071219,12.20193087
7845,10.90870772,12.19646147
7846,10.91121356,12.20045893
7847,10.91578142,12.20063237
7848,10.91147195,12.19734997
7849,10.90778427,12.19668834
7850,10.90682783,12.1979218
7851,10.91084641,12.19170376
7852,10.91006063,12.19170016
7853,10.9160137,12.19313327
7854,10.91409704,12.18972515
7855,10.90939873,12.19169988
7856,10.90930362,12.190311
7857,10.91503165,12.19011709
7858,10.9144297,12.18611686
7859,10.91524601,12.18397911
7860,10.91434205,12.18278129
7861,10.91308484,12.18194345
7862,10.91388526,12.18828791
7863,10.91076901,12.18355514
7864,10.91271841,12.1825357
7865,10.91595448,12.18328894
7866,10.91194707,12.17852819
7867,10.91260537,12.18161909
7868,10.9139222,12.17859075
7869,10.913893,12.17400464
7870,10.91356978,12.17360865
7871,10.91834838,12.17203734
7872,10.90959913,12.17524771
7873,10.91816904,12.17415325
7874,10.91645982,12.17224261
7875,10.91427075,12.17030446
7876,10.91997089,12.16960533
7877,10.91558858,12.16711377
7878,10.91492513,12.16984203
7879,10.91756192,12.16880227
7880,10.91447379,12.16775772
7881,10.91418811,12.16316663
7882,10.91492675,12.16636651
7883,10.91894807,12.16177636
7884,10.91980399,12.16506077
7885,10.91548383,12.16255026
7886,10.91716051,12.16084505
7887,10.91454116,12.15418146
7888,10.91643865,12.15635174
7889,10.9130118,12.15502361
7890,10.91472948,12.15523816
7891,10.9171814,12.15446733
7892,10.91890415,12.1494423
7893,10.91736071,12.15488812
7894,10.9250535,12.14932274
7895,10.91776083,12.15226095
7896,10.92357615,12.14943048
7897,10.92225766,12.15072996
7898,10.91811898,12.1445404
7899,10.92179815,12.14951454
7900,10.92080017,12.14541546
7901,10.91933064,12.1448161
7902,10.92096959,12.14808218
7903,10.91687182,12.14077299
7904,10.91446253,12.14180735
7905,10.91717956,12.14362865
7906,10.9257655,12.14087921
7907,10.91914897,12.14089879
7908,10.92507167,12.1414084
7909,10.92334519,12.13762695
7910,10.92278569,12.1368936
7911,10.92089615,12.13574334
7912,10.91829238,12.13755911
7913,10.92039136,12.13433817
7914,10.92063442,12.12839911
7915,10.91601804,12.12852513
7916,10.91787545,12.13108101
7917,10.91931248,12.12625279
7918,10.9204719,12.12800705
7919,10.91966675,12.12789934
7920,10.92600108,12.12437673
7921,10.92239825,12.12893143
7922,10.91982095,12.12334097
7923,10.91768928,12.12221066
7924,10.92398516,12.1211311
7925,10.92071554,12.11995405
7926,10.92463119,12.12144354
7927,10.92225206,12.11927581
7928,10.9233345,12.12024546
7929,10.92356925,12.11776125
7930,10.92303536,12.11883643
7931,10.92959345,12.11466496
7932,10.92681287,12.11500758
7933,10.92929513,12.11525134
7934,10.9254722,12.11032752
7935,10.92399585,12.11257631
7936,10.92268668,12.1114905
7937,10.9288497,12.10909176
7938,10.92257673,12.10735603
7939,10.92711232,12.10650194
7940,10.92586068,12.10808809
7941,10.93017281,12.10469281
7942,10.9263731,12.10755284
7943,10.92336631,12.10288919
7944,10.92947252,12.10233469
7945,10.92352333,12.09831335
7946,10.92344756,12.10258897
7947,10.92625078,12.10064385
7948,10.91735005,12.09929465
7949,10.92934237,12.10220312
7950,10.92774724,12.09716808
7951,10.92766602,12.09995421
7952,10.92749157,12.09617438
7953,10.92764105,12.0952749
7954,10.92491169,12.09251739
7955,10.923168,12.09183132
7956,10.92540066,12.08939976
7957,10.92968219,12.09236496
7958,10.92919667,12.093132
7959,10.92841546,12.08811913
7960,10.92939263,12.09029232
7961,10.92698106,12.08592601
7962,10.92562265,12.08722513
7963,10.93201385,12.08529204
7964,10.92810473,12.08562804
7965,10.92604508,12.08365336
7966,10.92833707,12.0825299
7967,10.93165895,12.07999246
7968,10.93164857,12.07833034
7969,10.9276164,12.07602788
7970,10.92852526,12.07575078
7971,10.91914174,12.07451568
7972,10.92881779,12.07933722
7973,10.9306386,12.07138593
7974,10.92743586,12.07565656
7975,10.93199253,12.07681028
7976,10.93002352,12.07348771
7977,10.92886424,12.06903128
7978,10.93325635,12.0697274
7979,10.92616165,12.07285701
7980,10.92659218,12.06879148
7981,10.93054878,12.07155904
7982,10.9316851,12.06566343
7983,10.93262649,12.0633773
7984,10.93028956,12.06452813
7985,10.92903437,12.06440924
7986,10.92855455,12.06475137
7987,10.92917765,12.06485082
7988,10.93000185,12.06195149
7989,10.93370439,12.05940849
7990,10.93296699,12.05990733
7991,10.92968045,12.05947956
7992,10.9328502,12.05794083
7993,10.92631152,12.05859194
7994,10.92959761,12.05582652
7995,10.93607555,12.05681758
7996,10.93033618,12.05214611
7997,10.93274336,12.05344223
7998,10.93116645,12.04988193
7999,10.93173094,12.05199073
8000,10.9355931,12.04906784
8001,10.93399743,12.04684976
8002,10.92925619,12.04774707
8003,10.9290081,12.04298478
8004,10.93350854,12.04425034
8005,10.93403806,12.0439216
8006,10.93192455,12.03951143
8007,10.93743962,12.04415277
8008,10.93659685,12.04046852
8009,10.93347589,12.04222154
8010,10.94240855,12.04027593
8011,10.93734341,12.04169208
8012,10.93432545,12.03788378
8013,10.93564977,12.03811334
8014,10.93355797,12.03489876
8015,10.93778042,12.03387389
8016,10.92891596,12.03495177
8017,10.93200044,12.03489459
8018,10.93316675,12.03018384
8019,10.93572672,12.02809794
8020,10.93334528,12.03139272
8021,10.9366769,12.03008974
8022,10.93639198,12.02581276
8023,10.93081237,12.02706823
8024,10.94101013,12.02401237
8025,10.93861469,12.02428084
8026,10.93242144,12.02421656
8027,10.93705725,12.02295394
8028,10.9356928,12.0209488
8029,10.93284166,12.02264331
8030,10.93929685,12.02147206
8031,10.93638602,12.02120287
8032,10.93536775,12.01611035
8033,10.93657991,12.01615832
8034,10.9366252,12.01961886
8035,10.93702328,12.01432573
8036,10.93891934,12.01666733
8037,10.93223801,12.0136705
8038,10.9345866,12.01154204
8039,10.93950111,12.01124259
8040,10.93672483,12.00780445
8041,10.93251068,12.01148312
8042,10.93730047,12.01021858
8043,10.93758239,12.00820771
8044,10.93868317,12.00885311
8045,10.94151262,12.00850041
8046,10.93397875,12.00531542
8047,10.93631046,12.00531311
8048,10.94026541,12.00305188
8049,10.94094867,12.00071834
8050,10.93878009,12.0041632
8051,10.94003164,12.00022322
8052,10.94161044,11.99909702
8053,10.94107126,11.99794808
8054,10.93423651,11.99682074
8055,10.94037194,11.99703571
8056,10.93905674,11.99745903
8057,10.93498663,11.99685136
8058,10.93992087,11.9939227
8059,10.93770757,11.99195394
8060,10.94212414,11.99070811
8061,10.93760621,11.99107679
8062,10.94425141,11.992311
8063,10.93804107,11.98502528
8064,10.94137915,11.99121272
8065,10.94196008,11.98772651
8066,10.93958202,11.98918038
8067,10.94083267,11.98554446
8068,10.93644541,11.98370695
8069,10.94113129,11.9866797
8070,10.93934364,11.98071934
8071,10.94405437,11.98013317
8072,10.94855859,11.98297529
8073,10.94417749,11.98204885
8074,10.94241241,11.98084523
8075,10.93727276,11.98248481
8076,10.94562672,11.97873719
8077,10.94633061,11.97459991
8078,10.94049164,11.98002956
8079,10.94091224,11.97673912
8080,10.94113677,11.97137311
8081,10.94282016,11.96910789
8082,10.94252024,11.97355422
8083,10.9455689,11.96998315
8084,10.94615191,11.97264039
8085,10.94353783,11.96841514
8086,10.9403147,11.96883945
8087,10.94492282,11.97055241
8088,10.94250098,11.96816038
8089,10.94315562,11.96229427
8090,10.94594428,11.96404412
8091,10.94470259,11.96407158
8092,10.94705862,11.96152886
8093,10.94874669,11.96048488
8094,10.94412039,11.95895851
8095,10.94236256,11.95689675
8096,10.94230448,11.95734346
8097,10.94726813,11.96011612
8098,10.94333393,11.95929229
8099,10.94393233,11.95605084
8100,10.9397971,11.95438082
8101,10.9463749,11.95049086
8102,10.94425229,11.95445443
8103,10.94410862,11.9503944
8104,10.94353321,11.94944174
8105,10.94967985,11.95212496
8106,10.94756903,11.95179485
8107,10.9432744,11.94582091
8108,10.94845935,11.94740323
8109,10.94024869,11.94505771
8110,10.94542884,11.94556888
8111,10.9487556,11.94198556
8112,10.94929754,11.94554887
8113,10.94897906,11.94151077
8114,10.94315685,11.94231632
8115,10.94896147,11.94284724
8116,10.94741239,11.9421089
8117,10.94554731,11.93712008
8118,10.95537444,11.93645862
